	128512	1F600	GRINNING FACE
😁	128513	1F601	GRINNING FACE WITH SMILING EYES
😂	128514	1F602	FACE WITH TEARS OF JOY
😃	128515	1F603	SMILING FACE WITH OPEN MOUTH
😄	128516	1F604	SMILING FACE WITH OPEN MOUTH AND SMILING EYES
😅	128517	1F605	SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
😆	128518	1F606	SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
😇	128519	1F607	SMILING FACE WITH HALO
😈	128520	1F608	SMILING FACE WITH HORNS
😉	128521	1F609	WINKING FACE
😊	128522	1F60A	SMILING FACE WITH SMILING EYES
😋	128523	1F60B	FACE SAVOURING DELICIOUS FOOD
😌	128524	1F60C	RELIEVED FACE
😍	128525	1F60D	SMILING FACE WITH HEART-SHAPED EYES
😎	128526	1F60E	SMILING FACE WITH SUNGLASSES
😏	128527	1F60F	SMIRKING FACE
😐	128528	1F610	NEUTRAL FACE
😑	128529	1F611	EXPRESSIONLESS FACE
😒	128530	1F612	UNAMUSED FACE
😓	128531	1F613	FACE WITH COLD SWEAT
😔	128532	1F614	PENSIVE FACE
😕	128533	1F615	CONFUSED FACE
😖	128534	1F616	CONFOUNDED FACE
😗	128535	1F617	KISSING FACE
😘	128536	1F618	FACE THROWING A KISS
😙	128537	1F619	KISSING FACE WITH SMILING EYES
😚	128538	1F61A	KISSING FACE WITH CLOSED EYES
😛	128539	1F61B	FACE WITH STUCK-OUT TONGUE
😜	128540	1F61C	FACE WITH STUCK-OUT TONGUE AND WINKING EYE
😝	128541	1F61D	FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
😞	128542	1F61E	DISAPPOINTED FACE
😟	128543	1F61F	WORRIED FACE
😠	128544	1F620	ANGRY FACE
😡	128545	1F621	POUTING FACE
😢	128546	1F622	CRYING FACE
😣	128547	1F623	PERSEVERING FACE
😤	128548	1F624	FACE WITH LOOK OF TRIUMPH
😥	128549	1F625	DISAPPOINTED BUT RELIEVED FACE
😦	128550	1F626	FROWNING FACE WITH OPEN MOUTH
😧	128551	1F627	ANGUISHED FACE
😨	128552	1F628	FEARFUL FACE
😩	128553	1F629	WEARY FACE
😪	128554	1F62A	SLEEPY FACE
😫	128555	1F62B	TIRED FACE
😬	128556	1F62C	GRIMACING FACE
😭	128557	1F62D	LOUDLY CRYING FACE
😮	128558	1F62E	FACE WITH OPEN MOUTH
😯	128559	1F62F	HUSHED FACE
😰	128560	1F630	FACE WITH OPEN MOUTH AND COLD SWEAT
😱	128561	1F631	FACE SCREAMING IN FEAR
😲	128562	1F632	ASTONISHED FACE
😳	128563	1F633	FLUSHED FACE
😴	128564	1F634	SLEEPING FACE
😵	128565	1F635	DIZZY FACE
😶	128566	1F636	FACE WITHOUT MOUTH
😷	128567	1F637	FACE WITH MEDICAL MASK





Char	Dec	Hex	Name
💺	128186	1F4BA	Seat
💻	128187	1F4BB	PC
💼	128188	1F4BC	Briefcase
💽	128189	1F4BD	Mini disk
💾	128190	1F4BE	Floppy disk
💿	128191	1F4BF	Optical disk
📀	128192	1F4C0	DVD
📁	128193	1F4C1	File Folder
📂	128194	1F4C2	Open file folder
📃	128195	1F4C3	Page with curl
📄	128196	1F4C4	Page facing up
📅	128197	1F4C5	Calendar
📆	128198	1F4C6	Tear-off calendar
📇	128199	1F4C7	Card index
📈	128200	1F4C8	Upwards trend
📉	128201	1F4C9	Downwards trend
📊	128202	1F4CA	Bar chart
📋	128203	1F4CB	Clipboard
📌	128204	1F4CC	Pushpin
📍	128205	1F4CD	Round pushpin
📎	128206	1F4CE	Paperclip
📏	128207	1F4CF	Straight ruler
📐	128208	1F4D0	Triangular ruler
📑	128209	1F4D1	Bookmark tabs
📒	128210	1F4D2	Ledger
📓	128211	1F4D3	Notebook
📔	128212	1F4D4	Decorated notebook
📕	128213	1F4D5	Closed book
📖	128214	1F4D6	Open book
📗	128215	1F4D7	Green book
📘	128216	1F4D8	Blue book
📙	128217	1F4D9	Orange book
📚	128218	1F4DA	Books
📛	128219	1F4DB	Name badge
📜	128220	1F4DC	Scroll
📝	128221	1F4DD	Memo
📞	128222	1F4DE	Telephone receiver
📟	128223	1F4DF	Pager
📠	128224	1F4E0	Fax
📡	128225	1F4E1	Satellite antenna
